Zeit in UTC+01:00;X in mm/s;Y in mm/s;Z in mm/s;
29.11.2023 13:01:36.58900;-0,00198356411419809;-0,0039910264313221;-0,0176608897745609;
29.11.2023 13:01:36.59000;-0,00160119030624628;-0,00523374136537313;-0,0185929257422686;
29.11.2023 13:01:36.59100;-0,00162508862558752;-0,00411051837727427;-0,0196205545216799;
29.11.2023 13:01:36.59200;-0,00141000340227038;-0,00554442033171654;-0,0206003878265619;
29.11.2023 13:01:36.59300;-0,000812544312793761;-0,00616577733308077;-0,0210544560104609;
29.11.2023 13:01:36.59400;-0,000573560653720051;-0,00516204629093409;-0,0208871681243181;
29.11.2023 13:01:36.59500;-0,000286780326860026;-0,00673933792859316;-0,020672082901001;
29.11.2023 13:01:36.59600;4,7796725993976E-05;-0,00642865942791104;-0,020672082901001;
29.11.2023 13:01:36.59700;0,000334577052854002;-0,00764747615903616;-0,0201941169798374;
29.11.2023 13:01:36.59800;0,000597459089476615;-0,00946375168859959;-0,0195966567844152;
29.11.2023 13:01:36.59900;0,000788645935244858;-0,0075518824160099;-0,0189275033771992;
29.11.2023 13:01:36.60000;0,00129051157273352;-0,00896188616752625;-0,0178759749978781;
29.11.2023 13:01:36.60100;0,00157729187048972;-0,00939205661416054;-0,0173024144023657;
29.11.2023 13:01:36.60200;0,00155339355114847;-0,0080059515312314;-0,0168005488812923;
29.11.2023 13:01:36.60300;0,00176847877446562;-0,00893798749893904;-0,016298683360219;
29.11.2023 13:01:36.60400;0,00184017396531999;-0,00836442690342665;-0,0157012231647968;
29.11.2023 13:01:36.60500;0,00157729187048972;-0,00934425927698612;-0,0145541029050946;
29.11.2023 13:01:36.60600;0,00160119030624628;-0,0109215518459678;-0,0134308794513345;
29.11.2023 13:01:36.60700;0,00200746231712401;-0,0105630764737725;-0,012451047077775;
29.11.2023 13:01:36.60800;0,00210305606015027;-0,0105391778051853;-0,0115668075159192;
29.11.2023 13:01:36.60900;0,00227034441195428;-0,0113995196297765;-0,0100373113527894;
29.11.2023 13:01:36.61000;0,00284390500746667;-0,0108737545087934;-0,0084600206464529;
29.11.2023 13:01:36.61100;0,00279610836878419;-0,0100851096212864;-0,00697832182049751;
