Zeit in UTC+02:00;X in mm/s;Y in mm/s;Z in mm/s
01.08.2023 08:44:16.72100;-0,006117980927229;-0,002843905007467;0,002174750901759
01.08.2023 08:44:16.72200;-0,006333065684885;-0,002652718219906;0,003154583740979
01.08.2023 08:44:16.72300;-0,006715439725667;-0,002103056060150;0,002915600081906
01.08.2023 08:44:16.72400;-0,007073915097862;-0,001648986944929;0,002867803443223
01.08.2023 08:44:16.72500;-0,007145610172302;-0,001218816498294;0,003082888666540
01.08.2023 08:44:16.72600;-0,007551882416010;-0,000979832839221;0,002796108368784
01.08.2023 08:44:16.72700;-0,007982052862644;-0,001433901721612;0,002270344411954
01.08.2023 08:44:16.72800;-0,008412224240601;-0,001410003402270;0,001218816498294
01.08.2023 08:44:16.72900;-0,008579512126744;-0,001433901721612;0,000669154105708
01.08.2023 08:44:16.73000;-0,008173239417374;-0,001768478774466;0,000788645935245
01.08.2023 08:44:16.73100;-0,007958155125380;-0,001529495231807;-0,000071695081715
01.08.2023 08:44:16.73200;-0,007910358719528;-0,001529495231807;-0,000310678704409
01.08.2023 08:44:16.73300;-0,007480187341571;-0,001338308211416;0,000262882007519
01.08.2023 08:44:16.73400;-0,007432390935719;-0,001027629594319;-0,000071695081715
01.08.2023 08:44:16.73500;-0,007766967639327;-0,001338308211416;0,000238983629970
01.08.2023 08:44:16.73600;-0,007934256456792;-0,001457800040953;0,000143390163430
01.08.2023 08:44:16.73700;-0,008364426903427;-0,001625088625588;-0,000669154105708
01.08.2023 08:44:16.73800;-0,008699003607035;-0,002126954263076;0,000071695081715
01.08.2023 08:44:16.73900;-0,008412224240601;-0,002437632996589;-0,000023898362997
01.08.2023 08:44:16.74000;-0,007599679287523;-0,002174750901759;-0,000525764015038
01.08.2023 08:44:16.74100;-0,006787135265768;-0,001816275529563;0,001218816498294
01.08.2023 08:44:16.74200;-0,006309167481959;-0,001362206647173;0,001720682135783
01.08.2023 08:44:16.74300;-0,005640013609082;-0,000788645935245;0,001147121307440
01.08.2023 08:44:16.74400;-0,005209843162447;-0,000955934519880;0,003178482409567
01.08.2023 08:44:16.74500;-0,005544420331717;-0,000669154105708;0,004421196877956
01.08.2023 08:44:16.74600;-0,005878997035325;-0,000334577052854;0,003321872325614
01.08.2023 08:44:16.74700;-0,005878997035325;-0,000788645935245;0,004421196877956
